Auctioneer,Phone,E-mail,District,Region,Latitude,Longitude,Title of auction,Beginning_on,Beginning_at,Category,Subcategory,Auction_code,Estimated_price,Reserve_price,Link
Pelikán Petr,606050465,podatelna@exekuce-pardubice.cz,Chrudim,Pardubický kraj,49.9607552,15.919328},"Rodinný dům, Hrochův Týnec",2021-09-15,11:00,Nemovitosti,Rodinný dům,11DD00002/21-1,1675000,1575000,https://www.portaldrazeb.cz/drazba/211dd00002-21-1-dlqak
Koncz David,355318111,podatelna@eucheb.cz,Přerov,Olomoucký kraj,,,Dražba pozemků v k.ú. Zámrsky,2021-09-15,11:00,Nemovitosti,Pozemek,EX05700/17-135,27000,18000,https://www.portaldrazeb.cz/drazba/074ex05700-17-135-1lqmn
Jícha Lukáš,588003999,urad@eujicha.cz,Kolín,Středočeský kraj,49.9800987,15.2296938,"Rodinný dům v obci Červené Pečky, okr. Kolín",2021-09-15,11:00,Nemovitosti,Rodinný dům,203EX5809/21,4540000,3026667,https://www.portaldrazeb.cz/drazba/203ex5809-21-2xgl3
Flajšhansová Vendula,377532479,podatelna@exekutori.com,Hradec Králové,Královéhradecký kraj,,,"parcely - obec Hradec Králové, k.ú. Pražské Předměstí",2021-09-15,11:00,Nemovitosti,Pozemek,21EX754/07-490,110000,55000,https://www.portaldrazeb.cz/drazba/121ex754-07-490-45lxn
Jícha Lukáš,588003999,urad@eujicha.cz,Mladá Boleslav,Středočeský kraj,50.4885845,15.100737},"Podíl na rodinném domě v obci Dobšín, okr. Mladá Boleslav",2021-09-15,11:00,Nemovitosti,Rodinný dům,203EX2992/21,270000,180000,https://www.portaldrazeb.cz/drazba/203ex2992-21-lgodj
Jícha Lukáš,588003999,urad@eujicha.cz,Jindřichův Hradec,Jihočeský kraj,49.1868809,15.2747336,"Podíl na pozemcích v k.ú. Studená, okr. Jindřichův Hradec",2021-09-15,11:00,Nemovitosti,Pozemek,203EX4746/21,665000,443333,https://www.portaldrazeb.cz/drazba/203ex4746-21-dqooj
Jícha Lukáš,588003999,urad@eujicha.cz,Svitavy,Pardubický kraj,49.7615541,16.6637965,"Byt 1+1 v obci Moravská Třebová, okr. Svitavy",2021-09-15,11:00,Nemovitosti,Byt,203EX2241/21,1165000,776667,https://www.portaldrazeb.cz/drazba/203ex2241-21-dlz15
Jícha Lukáš,588003999,urad@eujicha.cz,Břeclav,Jihomoravský kraj,48.7973185,17.0279137,"Zahrada v k.ú. Moravská Nová Ves, okr. Břeclav",2021-09-15,11:00,Nemovitosti,Pozemek,203EX36565/20,5000,3333,https://www.portaldrazeb.cz/drazba/203ex36565-20-mgodm
Jícha Lukáš,588003999,urad@eujicha.cz,Frýdek-Místek,Moravskoslezský kraj,49.6455173,18.3257188,"Rozestavěný rodinný dům v obci Palkovice, okr. Frýdek-Místek",2021-09-15,11:00,Nemovitosti,Rodinný dům,203EX30317/20,2898220,1932147,https://www.portaldrazeb.cz/drazba/203ex30317-20-735zx
Jícha Lukáš,588003999,urad@eujicha.cz,Přerov,Olomoucký kraj,49.4415184,17.4528515,"Podíl na garáži a pozemku v obci Přerov, okr. Přerov",2021-09-15,11:00,Nemovitosti,-,EX18374/20-135,62000,41333,https://www.portaldrazeb.cz/drazba/203ex18374-20-135-rbjnr
Jícha Lukáš,588003999,urad@eujicha.cz,Vsetín,Zlínský kraj,49.4643494,17.9686678,"Byt 3+1 v obci Valašské Meziříčí, okr. Vsetín",2021-09-15,11:00,Nemovitosti,Byt,203EX22015/20,2670000,1780000,https://www.portaldrazeb.cz/drazba/203ex22015-20-a9mjw
Jícha Lukáš,588003999,urad@eujicha.cz,Přerov,Olomoucký kraj,"49.599177,",,"Podíl na rodinném domě v obci Hranice, okr. Přerov",2021-09-15,11:00,Nemovitosti,Rodinný dům,203EX53612/12,57200,38133,https://www.portaldrazeb.cz/drazba/203ex53612-12-1lq7y
Jícha Lukáš,588003999,urad@eujicha.cz,Přerov,Olomoucký kraj,"49.599177,",,"Podíl na rodinném domě v obci Hranice, okr. Přerov",2021-09-15,11:00,Nemovitosti,Rodinný dům,203EX18062/15,45000,30000,https://www.portaldrazeb.cz/drazba/203ex18062-15-53ejb
Jícha Lukáš,588003999,urad@eujicha.cz,Ostrava-město,Moravskoslezský kraj,49.8346452,18.2820441,"Podíl na garáži v Ostravě, okr. Ostrava-město",2021-09-15,11:00,Nemovitosti,-,203EX56552/12,21000,14000,https://www.portaldrazeb.cz/drazba/203ex56552-12-dqolo
Makarius Milan,257210151,podatelna@eupz.cz,Jablonec nad Nisou,Liberecký kraj,50.7428379,15.3118498,"Rodinný dům včetně pozemku a příslušenství, k.ú. Šumburk nad Desnou, obec Tanvald, okr. Jablonec nad Nisou",2021-09-15,11:00,Nemovitosti,Rodinný dům,6EX2830/14-159,2011000,1340667,https://www.portaldrazeb.cz/drazba/156ex2830-14-159-735nr
Zítka Zdeněk,378229711,epodatelnazitka@exekutori-online.cz,Pardubice,Pardubický kraj,50.0214181,15.4984218,"Pozemek o velikosti  806 m2, Spytovice, podíl 1/2",2021-09-15,11:20,Nemovitosti,Pozemek,EX12743/14-272,87000,58000,https://www.portaldrazeb.cz/drazba/108ex12743-14-272-53zjq
Kubis Marcel,583550263,urad@exekucesumperk.cz,Louny,Ústecký kraj,50.3065662,13.7501887,"Dražba podílu id. 1/12 na pozemcích v obci Hřivice a Zbrašín, okres Louny",2021-09-15,11:30,Nemovitosti,Pozemek,139EX09879/18,21000,14000,https://www.portaldrazeb.cz/drazba/139ex09879-18-jl5va
Pajer Pavel,373700840,podatelna@exekutortachov.cz,Plzeň-sever,Plzeňský kraj,49.9719037,13.644039},"Pozemek o velikosti  1177 m2, Chříč, podíl 2/8 a 1/4",2021-09-15,12:00,Nemovitosti,Pozemek,41DD00007/21-2,14713,14713,https://www.portaldrazeb.cz/drazba/141dd00007-21-2-1lm2m
Valenta Jan,775178774,podatelna@exekuce.org,Břeclav,Jihomoravský kraj,48.9311057,"16.74108},","Spoluvlastnický podíl o velikosti \u00bc pozemku (orná půda) v k.ú. Hustopeče u Brna, okr. Břeclav",2021-09-16,06:30,Nemovitosti,Pozemek,96EX759/07-565,349250,232833,https://www.portaldrazeb.cz/drazba/196ex759-07-565-2xga7
Škorpil Jan,608096010,podatelna@euceb.cz,Sokolov,Karlovarský kraj,50.2500568,12.6544734,"Pozemek o velikosti  15938 m2, Horní Rozmyšl",2021-09-16,07:00,Nemovitosti,Pozemek,13DD00143/21-1,102000,102000,https://www.portaldrazeb.cz/drazba/213dd00143-21-1-ekgpk
"Kubena, Martin,",605495881,info@exekutorkubena.cz,Brno-město,Jihomoravský kraj,,,Soubor movitých věcí - vybavení kanceláře se zdravotnickým zařízením,2021-09-16,07:00,Movitosti,-,27EX1312/19-39,12510,4170,https://www.portaldrazeb.cz/drazba/227ex1312-19-39-aqpp8
Brančík Kamil,518346669,info@exekutorhodonin.cz,Mladá Boleslav,Středočeský kraj,50.4029025,14.8958236,"Pozemek o velikosti  956 m2, Čejetice u Mladé Boleslavi, podíl 1/6",2021-09-16,07:00,Nemovitosti,Pozemek,7EX05900/13-48,45300,30200,https://www.portaldrazeb.cz/drazba/007ex05900-13-48-dqkbz
Mlynarčík Jan,483704320,podatelna@exuradjablonec.cz,Jablonec nad Nisou,Liberecký kraj,50.6843381,15.3405006,Likvidace pozůstalosti - dražba podílu o velikosti 1/2 na pozemcích ve Zlaté Olešnici (okres Jablonec nad Nisou),2021-09-16,07:00,Nemovitosti,Pozemek,154DD122/01-4,8018,5346,https://www.portaldrazeb.cz/drazba/154dd122-01-4-aqp8v
Tunkl Martin,378229711,epodatelnatunkl@exekutori-online.cz,Prostějov,Olomoucký kraj,49.5445063,16.7914133,"Rodinný dům, Horní Štěpánov, podíl 3/40",2021-09-16,07:00,Nemovitosti,Rodinný dům,EX02351/15-186,60000,40000,https://www.portaldrazeb.cz/drazba/094ex02351-15-186-pdrzv
Tvrdková Jana,244400604,exekutorskyurad@tvrdkova.cz,Praha,Hlavní město Praha,50.0531502,14.5395432,"KIA CARENS 1.7 CRDi, 85 kW",2021-09-16,08:00,Movitosti,Auto-moto,95EX434/21-031,255000,85000,https://www.portaldrazeb.cz/drazba/095ex434-21-031-mg5d8
Sárová Marie,567310211,urad@exekucejihlava.cz,Pelhřimov,Kraj Vysočina,,,"Dražba ideální 1/3 zahrady Kejžlice, okr. Pelhřimov",2021-09-16,08:00,Nemovitosti,Pozemek,EX00173/07-161,20000,13334,https://www.portaldrazeb.cz/drazba/079ex00173-07-161-lgoww
Smékal Marcel,236034034,urad@exsmekal.cz,Kladno,Středočeský kraj,50.0620086,14.1494071,"ELEKTRONICKÁ DRAŽBA OPAKOVANÁ!! Rodinný dům, podíl 1/2, obec Svárov, okres Kladno",2021-09-16,08:00,Nemovitosti,Rodinný dům,EX01230/05-394,1070000,535000,https://www.portaldrazeb.cz/drazba/081ex01230-05-394-lgwae
Polanský Petr,485104163,urad@exekuceliberec.cz,Liberec,Liberecký kraj,50.7310851,15.0582664,"Dražba garáže s pozemkem a příslušenstvím - podíl 3/8, okr. Liberec",2021-09-16,08:00,Nemovitosti,Garáž,1EX2196/19-197,70000,46667,https://www.portaldrazeb.cz/drazba/131ex2196-19-197-lgkr1
Nevěřilová Pavla,583301455,podatelna@exekutor-sumperk.cz,Šumperk,Olomoucký kraj,50.1079957,16.9835089,"Podíl 1/4 rodinného domu, 1/2 pozemků a celek pozemků",2021-09-16,08:00,Nemovitosti,Rodinný dům,225EX1447/18-2,815000,543333,https://www.portaldrazeb.cz/drazba/225ex1447-18-2-aq5kj
Polanský Petr,485104163,urad@exekuceliberec.cz,Žďár nad Sázavou,Kraj Vysočina,49.6867355,15.9638813,"Dražba pozemku (3 985 m2), okr. Žďár nad Sázavou",2021-09-16,08:00,Nemovitosti,Pozemek,1EX1055/12-265,44000,29334,https://www.portaldrazeb.cz/drazba/131ex1055-12-265-2xgpo
Slušná Jana,563034049,podatelna@slusna-exekuce.cz,Trutnov,Královéhradecký kraj,50.6226737,15.8148922,"Hyundai Santa Fe, r.v. 2010",2021-09-16,08:00,Movitosti,Auto-moto,222EX966/21-53,150000,50000,https://www.portaldrazeb.cz/drazba/222ex966-21-53-lgwd4
Šůstek Svatopluk,730895831,podatelna@exekuceolomouc.cz,Praha,Hlavní město Praha,50.0763558,14.4734914,"Chata, Ústí nad Labem, podíl 1/2",2021-09-16,08:00,Nemovitosti,Rekreační objekt,5DD00008/21-2d,75000,75000,https://www.portaldrazeb.cz/drazba/185dd00008-21-2d-1lqdn
Peroutka Jan,474335579,info@exekucecv.cz,Příbram,Středočeský kraj,"49.669877,",,Spoluvlastnický podíl 1/2 RD v Dublovicích u Příbrami,2021-09-16,08:00,Nemovitosti,-,5EX5594/15-157,788000,525333,https://www.portaldrazeb.cz/drazba/135ex5594-15-157-73vpw
Souček Kamil,491422020,podatelna@soucek-exekutor.cz,Jičín,Královéhradecký kraj,,,"spoluvlastnické podíly 3/128 lesních pozemků a trvalých travních porostů, k. ú. Boháňka",2021-09-16,08:00,Nemovitosti,Pozemek,83EX1017/10-76,3600,2400,https://www.portaldrazeb.cz/drazba/083ex1017-10-76-95lqp
Král Jiří,596126600,podatelna@eurad-ova.cz,České Budějovice,Jihočeský kraj,,,"Pozemek, podíl 1/4",2021-09-16,08:00,Nemovitosti,-,043EX1524/14,5000,3333,https://www.portaldrazeb.cz/drazba/043ex1524-14-73kva
Tunkl Martin,378229711,epodatelnatunkl@exekutori-online.cz,Karlovy Vary,Karlovarský kraj,50.1265857,13.1310071,"Rodinný dům, Knínice u Žlutic, podíl 1/3",2021-09-16,08:00,Nemovitosti,Rodinný dům,EX07711/20-094,456000,182000,https://www.portaldrazeb.cz/drazba/094ex07711-20-094-xjzzx
Maisnerová Katarína,281864621,maisnerova@executio.cz,Havlíčkův Brod,Kraj Vysočina,,,dražba podílu pozemků Světlá nad Sázavou,2021-09-16,08:00,Nemovitosti,Pozemek,048EX10/21-033,430050,286700,https://www.portaldrazeb.cz/drazba/048ex10-21-033-73vje
Polanský Petr,485104163,urad@exekuceliberec.cz,Liberec,Liberecký kraj,50.8750385,15.0303308,"Dražba pozemku (14 859 m2), okr. Liberec",2021-09-16,08:00,Nemovitosti,Pozemek,1EX3565/14-944,270000,180000,https://www.portaldrazeb.cz/drazba/131ex3565-14-944-rbjnx
Smékal Marcel,236034034,urad@exsmekal.cz,Prachatice,Jihočeský kraj,49.1105747,14.0379176,"ELEKTRONICKÁ DRAŽBA! Bydlení, obec Dub, okres Prachatice",2021-09-16,08:30,Nemovitosti,Rodinný dům,EX31017/12-280,580000,386700,https://www.portaldrazeb.cz/drazba/081ex31017-12-280-53zpn
Flajšhansová Vendula,377532479,podatelna@exekutori.com,Plzeň-město,Plzeňský kraj,49.7477831,13.3783489,"náušnice, dioptrické brýle, flashdisk, peněženka",2021-09-16,09:00,Movitosti,Ostatní,121DD5/20-58,100,34,https://www.portaldrazeb.cz/drazba/121dd5-20-58-mgova
Blažková Alena,542220200,podatelna@exekutorblazkova.cz,Zlín,Zlínský kraj,"49.23004,""",,"Dražba spoluvl. podílu bytu, město Zlín",2021-09-16,09:00,Nemovitosti,Byt,6EX1137/16-145,160000,106667,https://www.portaldrazeb.cz/drazba/006ex1137-16-145-rbjdg
Mlynarčík Jan,483704320,podatelna@exuradjablonec.cz,Semily,Liberecký kraj,50.6881014,15.3871961,Likvidace pozůstalosti - dražba podílu o velikosti 1/4 na pozemku v obci a k.ú. Vysoké nad Jizerou (okres Semily),2021-09-16,09:00,Nemovitosti,Pozemek,154DD122/21-5,1960,1307,https://www.portaldrazeb.cz/drazba/154dd122-21-5-lgo11
Tunkl Martin,378229711,epodatelnatunkl@exekutori-online.cz,Teplice,Ústecký kraj,50.5606099,13.8677992,"Pozemek o velikosti  3822 m2, Kostomlaty pod Milešovkou, podíl 1/4",2021-09-16,09:00,Nemovitosti,Pozemek,EX11520/20-067,120000,80000,https://www.portaldrazeb.cz/drazba/094ex11520-20-067-73vjw
Ivanko Igor,220104211,e-podatelna@exekutorskyurad.eu,Uherské Hradiště,Zlínský kraj,49.0271071,17.6000011,Elektronická dražba id. podílu o velikosti 1/8 na pozemku v obci Uherský Brod (167 EX),2021-09-16,09:00,Nemovitosti,Pozemek,67EX700/08-201,20000,13334,https://www.portaldrazeb.cz/drazba/167ex700-08-201-lgoz2
Jakubovská Veronika,327516790,exekutorkhora@seznam.cz,Neuvedeno,-,,,Dražba movitých věcí,2021-09-16,09:00,Movitosti,Auto-moto,192EX309/20-38,9000,3000,https://www.portaldrazeb.cz/drazba/192ex309-20-38-ekglk
Koutníková Eva,511444440,eva.koutnikova@soudniexekutorka.cz,Znojmo,Jihomoravský kraj,50.0763558,14.4734914,"pozemky a jiná stavba v k.ú. Míšovice, obec Hostěradice",2021-09-16,10:00,Nemovitosti,Pozemek,EX03415/20-III,600000,400000,https://www.portaldrazeb.cz/drazba/193ex03415-20-iii-lgknr
Tunkl Martin,378229711,epodatelnatunkl@exekutori-online.cz,Nový Jičín,Moravskoslezský kraj,49.7633101,18.0845126,"Rodinný dům, Bravantice, podíl 1/2",2021-09-16,10:30,Nemovitosti,Rodinný dům,EX02625/21-065,1014000,676000,https://www.portaldrazeb.cz/drazba/094ex02625-21-065-jl5ba
Ivanko Igor,220104211,e-podatelna@exekutorskyurad.eu,Tachov,Plzeňský kraj,"49.664023,",,Opakovaná elektronická dražba zemědělské stavby v obci Stráž (167EX),2021-09-16,11:00,Nemovitosti,Zemědělská stavba,67EX105/16-137,2256000,902400,https://www.portaldrazeb.cz/drazba/167ex105-16-137-735xo
Homola Jaroslav,543237149,exekutorsky.urad@brno-mesto.cz,Ústí nad Labem,Ústecký kraj,50.6869209,14.185638},"Ubytovací zařízení s administr. budovou v obci Povrly, k.ú. Roztoky nad Labem, okres Ústí nad Labem",2021-09-16,11:00,Nemovitosti,Rekreační objekt,EX12224/19-112,9770000,3908000,https://www.portaldrazeb.cz/drazba/030ex12224-19-112-rbjww
Mlynarčík Jan,483704320,podatelna@exuradjablonec.cz,Semily,Liberecký kraj,50.6905808,15.3802232,Likvidace pozůstalosti - dražba podílu o velikosti 1/5 na pozemku v obci a k.ú. Vysoké nad Jizerou (okres Semily),2021-09-16,11:00,Nemovitosti,Pozemek,154DD122/01-6,3468,2312,https://www.portaldrazeb.cz/drazba/154dd122-01-6-pdo5y
Krejsta Jan,530513513,exekutor@eubrno.cz,Praha,Hlavní město Praha,50.0763558,14.4734914,"Pozemek o velikosti  26794 m2, Těšany, podíl 1/3 a 1/2",2021-09-16,11:00,Nemovitosti,Pozemek,EX00652/19-646,479000,319333,https://www.portaldrazeb.cz/drazba/159ex00652-19-646-mgoxa
Tunkl Martin,378229711,epodatelnatunkl@exekutori-online.cz,Prostějov,Olomoucký kraj,49.4006064,17.1393651,"Pozemek o velikosti  435 m2, Vřesovice u Prostějova, podíl 1/2",2021-09-16,11:20,Nemovitosti,Pozemek,4EX07300/07-1B,72000,36000,https://www.portaldrazeb.cz/drazba/094ex07300-07-1b-dqkod
Kubis Marcel,583550263,urad@exekucesumperk.cz,Strakonice,Jihočeský kraj,,,"Dražba podílu id. 1/2 na RD v obci Jinín, okres Strakonice",2021-09-16,11:30,Nemovitosti,Rodinný dům,139EX22531/13,490000,326667,https://www.portaldrazeb.cz/drazba/139ex22531-13-a9kb5
Flajšhansová Vendula,377532479,podatelna@exekutori.com,Plzeň-sever,Plzeňský kraj,,,Ford Fiesta,2021-09-16,12:00,Movitosti,Auto-moto,121DD5/20-55,29200,9734,https://www.portaldrazeb.cz/drazba/121dd5-20-55-pdork
"Beneš Jan,",277278800,epodatelna@euprahazapad.cz,Kladno,Středočeský kraj,,,"Motorové vozidlo Škoda Fabia, rok výroby 2006 - NEPOJÍZDNÉ !!!",2021-09-16,12:00,Movitosti,-,191EX741/21-29,10890,3630,https://www.portaldrazeb.cz/drazba/191ex741-21-29-1lqyd
Koutníková Eva,511444440,eva.koutnikova@soudniexekutorka.cz,Znojmo,Jihomoravský kraj,50.0763558,14.4734914,pozemky v k.ú. Miroslav - součástí vinný sklep,2021-09-16,13:00,Nemovitosti,Pozemek,193EX03415/20,600000,400000,https://www.portaldrazeb.cz/drazba/193ex03415-20-yo2ag
Jícha Lukáš,588003999,urad@eujicha.cz,Neuvedeno,-,,,AUDI A4,2021-09-17,06:00,Movitosti,-,3EX06215/21-25,150000,50000,https://www.portaldrazeb.cz/drazba/203ex06215-21-25-53zow
Jícha Lukáš,588003999,urad@eujicha.cz,Neuvedeno,-,,,Soubor movitých věcí (draženo jednotlivě),2021-09-17,06:00,Movitosti,-,3EX18052/15-42,1410,470,https://www.portaldrazeb.cz/drazba/203ex18052-15-42-a9kry
Jícha Lukáš,588003999,urad@eujicha.cz,Neuvedeno,-,,,Soubor movitých věcí (draženo jednotlivě),2021-09-17,06:00,Movitosti,-,3EX35568/16-32,6300,2100,https://www.portaldrazeb.cz/drazba/203ex35568-16-32-pdr08
Jícha Lukáš,588003999,urad@eujicha.cz,Neuvedeno,-,,,vozidlo RZ 2C66288,2021-09-17,06:00,Movitosti,-,3EX24188/20-48,21000,7000,https://www.portaldrazeb.cz/drazba/203ex24188-20-48-xjzwq
Jícha Lukáš,588003999,urad@eujicha.cz,Neuvedeno,-,,,VOZIDLO RZ 7U52801,2021-09-17,06:00,Movitosti,-,3EX14000/15-77,90000,30000,https://www.portaldrazeb.cz/drazba/203ex14000-15-77-73ve8
Jícha Lukáš,588003999,urad@eujicha.cz,Neuvedeno,-,,,ŠKODA OCTAVIA 1Z,2021-09-17,06:00,Movitosti,-,3EX02097/21-27,60000,20000,https://www.portaldrazeb.cz/drazba/203ex02097-21-27-jl54z
Jícha Lukáš,588003999,urad@eujicha.cz,Neuvedeno,-,,,AUDI A3,2021-09-17,06:00,Movitosti,-,3EX07675/21-33,60000,20000,https://www.portaldrazeb.cz/drazba/203ex07675-21-33-rbz8q
Jícha Lukáš,588003999,urad@eujicha.cz,Neuvedeno,-,,,MERCEDES-BENZ SPRINTER,2021-09-17,06:00,Movitosti,-,3EX10956/21-21,300000,100000,https://www.portaldrazeb.cz/drazba/203ex10956-21-21-yo7w3
Jícha Lukáš,588003999,urad@eujicha.cz,Neuvedeno,-,,,pc sestava,2021-09-17,06:00,Movitosti,-,3EX24058/15-53,900,300,https://www.portaldrazeb.cz/drazba/203ex24058-15-53-mg5kp
Jícha Lukáš,588003999,urad@eujicha.cz,Neuvedeno,-,,,Soubor movitých věcí (draženo jednotlivě),2021-09-17,06:00,Movitosti,-,3EX22446/20-76,1800,600,https://www.portaldrazeb.cz/drazba/203ex22446-20-76-w8x9z
Jícha Lukáš,588003999,urad@eujicha.cz,Neuvedeno,-,,,btv,2021-09-17,06:00,Movitosti,-,3EX27958/12-70,1200,400,https://www.portaldrazeb.cz/drazba/203ex27958-12-70-95qbg
Jícha Lukáš,588003999,urad@eujicha.cz,Neuvedeno,-,,,tablet Lenovo,2021-09-17,06:00,Movitosti,-,3EX42954/19-29,600,200,https://www.portaldrazeb.cz/drazba/203ex42954-19-29-45xj3
Jícha Lukáš,588003999,urad@eujicha.cz,Neuvedeno,-,,,kolo horské trek,2021-09-17,06:00,Movitosti,-,3EX44682/19-34,2100,700,https://www.portaldrazeb.cz/drazba/203ex44682-19-34-nqedg
Jícha Lukáš,588003999,urad@eujicha.cz,Neuvedeno,-,,,Soubor movitých věcí (draženo jednotlivě),2021-09-17,06:00,Movitosti,-,3EX61069/12-70,3900,1300,https://www.portaldrazeb.cz/drazba/203ex61069-12-70-yo7yq
Jícha Lukáš,588003999,urad@eujicha.cz,Neuvedeno,-,,,kytara,2021-09-17,06:00,Movitosti,-,3EX45386/19-40,900,300,https://www.portaldrazeb.cz/drazba/203ex45386-19-40-a9krw
Jícha Lukáš,588003999,urad@eujicha.cz,Neuvedeno,-,,,DVD Hyundai,2021-09-17,06:00,Movitosti,-,3EX00278/02-98,30,10,https://www.portaldrazeb.cz/drazba/203ex00278-02-98-aqaq5
Jícha Lukáš,588003999,urad@eujicha.cz,Neuvedeno,-,,,Soubor movitých věcí (draženo jednotlivě),2021-09-17,06:00,Movitosti,-,3EX18773/15-45,1200,400,https://www.portaldrazeb.cz/drazba/203ex18773-15-45-2x373
Jícha Lukáš,588003999,urad@eujicha.cz,Neuvedeno,-,,,Soubor movitých věcí (draženo jednotlivě),2021-09-17,06:00,Movitosti,-,3EX05431/15-31,10050,3350,https://www.portaldrazeb.cz/drazba/203ex05431-15-31-45xov
Jícha Lukáš,588003999,urad@eujicha.cz,Neuvedeno,-,,,nootebook poškozený,2021-09-17,06:00,Movitosti,-,3EX11075/20-42,3000,1000,https://www.portaldrazeb.cz/drazba/203ex11075-20-42-nqe51
Jícha Lukáš,588003999,urad@eujicha.cz,Neuvedeno,-,,,Soubor movitých věcí (draženo jednotlivě),2021-09-17,06:00,Movitosti,-,3EX26922/20-41,6300,2100,https://www.portaldrazeb.cz/drazba/203ex26922-20-41-kde5r
Jícha Lukáš,588003999,urad@eujicha.cz,Neuvedeno,-,,,Soubor movitých věcí (draženo jednotlivě),2021-09-17,06:00,Movitosti,-,3EX48260/17-52,7950,2650,https://www.portaldrazeb.cz/drazba/203ex48260-17-52-xjzmk
Jícha Lukáš,588003999,urad@eujicha.cz,Neuvedeno,-,,,ntb Acer,2021-09-17,06:00,Movitosti,-,3EX06248/18-34,1800,600,https://www.portaldrazeb.cz/drazba/203ex06248-18-34-73v9x
Jícha Lukáš,588003999,urad@eujicha.cz,Neuvedeno,-,,,Soubor movitých věcí (draženo jednotlivě),2021-09-17,06:00,Movitosti,-,3EX07371/20-52,57000,19000,https://www.portaldrazeb.cz/drazba/203ex07371-20-52-dqkzj
Jícha Lukáš,588003999,urad@eujicha.cz,Neuvedeno,-,,,tiskárna Canon,2021-09-17,06:00,Movitosti,-,3EX37236/18-39,300,100,https://www.portaldrazeb.cz/drazba/203ex37236-18-39-qbndr
Jícha Lukáš,588003999,urad@eujicha.cz,Neuvedeno,-,,,Soubor movitých věcí (draženo jednotlivě),2021-09-17,06:00,Movitosti,-,3EX15559/15-44,8400,2800,https://www.portaldrazeb.cz/drazba/203ex15559-15-44-1lm4r
Jícha Lukáš,588003999,urad@eujicha.cz,Neuvedeno,-,,,FORD MONDEO,2021-09-17,06:00,Movitosti,-,3EX10562/16-50,75000,25000,https://www.portaldrazeb.cz/drazba/203ex10562-16-50-ekg3r
Jícha Lukáš,588003999,urad@eujicha.cz,Neuvedeno,-,,,AUDI A4,2021-09-17,06:00,Movitosti,-,3EX06215/21-25,150000,50000,https://www.portaldrazeb.cz/drazba/203ex06215-21-25-53zow
Jícha Lukáš,588003999,urad@eujicha.cz,Neuvedeno,-,,,VOLKSWAGEN PASSAT 3C,2021-09-17,06:00,Movitosti,-,3EX07097/21-32,75000,25000,https://www.portaldrazeb.cz/drazba/203ex07097-21-32-lgwzk
Jícha Lukáš,588003999,urad@eujicha.cz,Neuvedeno,-,,,Soubor movitých věcí (draženo jednotlivě),2021-09-17,06:00,Movitosti,-,3EX18921/20-46,1650,550,https://www.portaldrazeb.cz/drazba/203ex18921-20-46-jl5dz
Jícha Lukáš,588003999,urad@eujicha.cz,Neuvedeno,-,,,Soubor movitých věcí (draženo jednotlivě),2021-09-17,06:00,Movitosti,-,3EX05217/20-26,10950,3650,https://www.portaldrazeb.cz/drazba/203ex05217-20-26-rbz1q
Jícha Lukáš,588003999,urad@eujicha.cz,Neuvedeno,-,,,Soubor movitých věcí (draženo jednotlivě),2021-09-17,06:00,Movitosti,-,3EX13727/21-27,5100,1700,https://www.portaldrazeb.cz/drazba/203ex13727-21-27-yo7y3
Jícha Lukáš,588003999,urad@eujicha.cz,Neuvedeno,-,,,Soubor movitých věcí (draženo jednotlivě),2021-09-17,06:00,Movitosti,-,3EX18052/15-42,1410,470,https://www.portaldrazeb.cz/drazba/203ex18052-15-42-a9kry
Jícha Lukáš,588003999,urad@eujicha.cz,Neuvedeno,-,,,Soubor movitých věcí (draženo jednotlivě),2021-09-17,06:00,Movitosti,-,3EX12116/14-44,3600,1200,https://www.portaldrazeb.cz/drazba/203ex12116-14-44-xjz8k
Jícha Lukáš,588003999,urad@eujicha.cz,Neuvedeno,-,,,ntb Asus,2021-09-17,06:00,Movitosti,-,3EX08994/18-34,7500,2500,https://www.portaldrazeb.cz/drazba/203ex08994-18-34-53zql
Jícha Lukáš,588003999,urad@eujicha.cz,Neuvedeno,-,,,Soubor movitých věcí (draženo jednotlivě),2021-09-17,06:00,Movitosti,-,3EX23760/20-21,5400,1800,https://www.portaldrazeb.cz/drazba/203ex23760-20-21-lgw5j
Jícha Lukáš,588003999,urad@eujicha.cz,Neuvedeno,-,,,Soubor movitých věcí (draženo jednotlivě),2021-09-17,06:00,Movitosti,-,3EX16093/20-31,4050,1350,https://www.portaldrazeb.cz/drazba/203ex16093-20-31-dqknj
Jícha Lukáš,588003999,urad@eujicha.cz,Neuvedeno,-,,,jizdni kolo,2021-09-17,06:00,Movitosti,-,3EX26946/19-46,900,300,https://www.portaldrazeb.cz/drazba/203ex26946-19-46-dlqo5
Jícha Lukáš,588003999,urad@eujicha.cz,Neuvedeno,-,,,Soubor movitých věcí (draženo jednotlivě),2021-09-17,06:00,Movitosti,-,3EX35568/16-32,6300,2100,https://www.portaldrazeb.cz/drazba/203ex35568-16-32-pdr08
Jícha Lukáš,588003999,urad@eujicha.cz,Neuvedeno,-,,,Soubor movitých věcí (draženo jednotlivě),2021-09-17,06:00,Movitosti,-,3EX08306/08-26,4800,1600,https://www.portaldrazeb.cz/drazba/203ex08306-08-26-a9kow
